2017-07-28 10:42:31: 	{"query": "打开车灯", "uid": "222"}
2017-07-28 11:15:51: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-28 11:16:34: 	{"query": "打开车灯", "uid": "222"}

2017-07-28 11:16:34: 	{"semantic": {"slots": {"function": "", "position": "", "part": "", "condition": "", "operate": "开启"}}, "text": "打开车灯", "rc": 0, "topic": "manual", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["小灯", "近光灯", "远光灯", "转向灯", "双闪灯", "雾灯", "日间行车灯", "照明灯", "阅读灯", "开门灯", "角灯", "上车照明灯", "迎宾照明灯", "智能迎宾灯", "手套箱照明灯", "行李箱照明灯", "点烟器照明灯", "氛围灯"], "uplist": ["小灯", "近光灯", "远光灯", "转向灯", "双闪灯", "雾灯", "日间行车灯", "照明灯", "阅读灯", "开门灯", "角灯", "上车照明灯", "迎宾照明灯", "智能迎宾灯", "手套箱照明灯", "行李箱照明灯", "点烟器照明灯", "氛围灯"], "title": "请问您需要打开什么灯光"}}}

2017-07-28 11:17:06: 	{"query": "转向灯", "uid": "222"}

2017-07-28 11:17:06: 	{"semantic": {"slots": {"function": "", "position": "", "part": "转向灯", "condition": "", "operate": "开启"}}, "text": "转向灯", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "上拨或下拨灯光组合开关操纵杆到限位1位置，即打开右侧或左侧转向信号灯"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-28 11:17:22: 	{"query": "打开车灯", "uid": "222"}

2017-07-28 11:17:23: 	{"semantic": {"slots": {"function": "", "position": "", "part": "", "condition": "", "operate": "开启"}}, "text": "打开车灯", "rc": 0, "topic": "manual", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["小灯", "近光灯", "远光灯", "转向灯", "双闪灯", "雾灯", "日间行车灯", "照明灯", "阅读灯", "开门灯", "角灯", "上车照明灯", "迎宾照明灯", "智能迎宾灯", "手套箱照明灯", "行李箱照明灯", "点烟器照明灯", "氛围灯"], "uplist": ["小灯", "近光灯", "远光灯", "转向灯", "双闪灯", "雾灯", "日间行车灯", "照明灯", "阅读灯", "开门灯", "角灯", "上车照明灯", "迎宾照明灯", "智能迎宾灯", "手套箱照明灯", "行李箱照明灯", "点烟器照明灯", "氛围灯"], "title": "请问您需要打开什么灯光"}}}

2017-07-28 11:17:27: 	{"query": "转向灯", "uid": "222"}

2017-07-28 11:17:27: 	{"semantic": {"slots": {"function": "", "position": "", "part": "转向灯", "condition": "", "operate": "开启"}}, "text": "转向灯", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "上拨或下拨灯光组合开关操纵杆到限位1位置，即打开右侧或左侧转向信号灯"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-28 11:17:29: 	{"query": "转向灯", "uid": "222"}

2017-07-28 11:17:29: 	{"semantic": {"slots": {"function": "", "position": "", "part": "转向灯", "condition": "", "operate": "开启"}}, "text": "转向灯", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "上拨或下拨灯光组合开关操纵杆到限位1位置，即打开右侧或左侧转向信号灯"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-28 11:17:31: 	{"query": "转向灯", "uid": "222"}

2017-07-28 11:17:31: 	{"semantic": {"slots": {"function": "", "position": "", "part": "转向灯", "condition": "", "operate": "开启"}}, "text": "转向灯", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "上拨或下拨灯光组合开关操纵杆到限位1位置，即打开右侧或左侧转向信号灯"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-28 11:17:32: 	{"query": "转向灯", "uid": "222"}

2017-07-28 11:17:32: 	{"semantic": {"slots": {"function": "", "position": "", "part": "转向灯", "condition": "", "operate": "开启"}}, "text": "转向灯", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "上拨或下拨灯光组合开关操纵杆到限位1位置，即打开右侧或左侧转向信号灯"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-28 11:17:42: 	{"query": "打开车灯", "uid": "222"}

2017-07-28 11:17:43: 	{"semantic": {"slots": {"function": "", "position": "", "part": "", "condition": "", "operate": "开启"}}, "text": "打开车灯", "rc": 0, "topic": "manual", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["小灯", "近光灯", "远光灯", "转向灯", "双闪灯", "雾灯", "日间行车灯", "照明灯", "阅读灯", "开门灯", "角灯", "上车照明灯", "迎宾照明灯", "智能迎宾灯", "手套箱照明灯", "行李箱照明灯", "点烟器照明灯", "氛围灯"], "uplist": ["小灯", "近光灯", "远光灯", "转向灯", "双闪灯", "雾灯", "日间行车灯", "照明灯", "阅读灯", "开门灯", "角灯", "上车照明灯", "迎宾照明灯", "智能迎宾灯", "手套箱照明灯", "行李箱照明灯", "点烟器照明灯", "氛围灯"], "title": "请问您需要打开什么灯光"}}}

2017-07-28 11:17:49: 	{"query": "阅读灯", "uid": "222"}

2017-07-28 11:17:49: 	{"semantic": {"slots": {"function": "", "position": "", "part": "阅读灯", "condition": "", "operate": "开启"}}, "text": "阅读灯", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g05.png", "method": "按一下第二排/第三排车顶照明灯开关箭头，对应侧的阅读灯亮起，再按一下则熄灭。–若此灯忘记关闭，当启动开关关闭，并且车辆上锁15分钟后，此灯将自动熄灭。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-28 11:17:52: 	{"query": "阅读灯", "uid": "222"}

2017-07-28 11:17:52: 	{"semantic": {"slots": {"function": "", "position": "", "part": "阅读灯", "condition": "", "operate": "开启"}}, "text": "阅读灯", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g05.png", "method": "按一下第二排/第三排车顶照明灯开关箭头，对应侧的阅读灯亮起，再按一下则熄灭。–若此灯忘记关闭，当启动开关关闭，并且车辆上锁15分钟后，此灯将自动熄灭。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:28:33: 	{"query": "前雾灯怎么关", "uid": "222"}

2017-07-30 08:28:34: 	{"semantic": {"slots": {"position": "前", "part": "雾灯", "operate": "关闭"}}, "text": "前雾灯怎么关", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "将雾灯开关旋转OFF位置，前、后雾灯均关闭。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:28:44: 	{"query": "前雾灯怎么关", "uid": "222"}

2017-07-30 08:28:44: 	{"semantic": {"slots": {"position": "前", "part": "雾灯", "operate": "关闭"}}, "text": "前雾灯怎么关", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "将雾灯开关旋转OFF位置，前、后雾灯均关闭。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:28:45: 	{"query": "前雾灯怎么关", "uid": "222"}

2017-07-30 08:28:45: 	{"semantic": {"slots": {"position": "前", "part": "雾灯", "operate": "关闭"}}, "text": "前雾灯怎么关", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "将雾灯开关旋转OFF位置，前、后雾灯均关闭。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:29:59: 	{"query": "前雾灯怎么关", "uid": "222"}

2017-07-30 08:30:00: 	{"semantic": {"slots": {"position": "前", "part": "雾灯", "operate": "关闭"}}, "text": "前雾灯怎么关", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "将雾灯开关旋转OFF位置，前、后雾灯均关闭。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:30:05: 	{"query": "后雾灯怎么关", "uid": "222"}

2017-07-30 08:30:05: 	{"semantic": {"slots": {"position": "后", "part": "雾灯", "operate": "关闭"}}, "text": "后雾灯怎么关", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "将雾灯开关旋转OFF位置，前、后雾灯均关闭。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:33:01: 	{"query": "前雾灯怎么关", "uid": "222"}

2017-07-30 08:33:01: 	{"semantic": {"slots": {"position": "前", "part": "雾灯", "operate": "关闭"}}, "text": "前雾灯怎么关", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "将雾灯开关旋转OFF位置，前、后雾灯均关闭。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:33:11: 	{"query": "后雾灯怎么关", "uid": "222"}

2017-07-30 08:33:11: 	{"semantic": {"slots": {"position": "后", "part": "雾灯", "operate": "关闭"}}, "text": "后雾灯怎么关", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "将雾灯开关旋转OFF位置，前、后雾灯均关闭。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:33:21: 	{"query": "前雾灯怎么开", "uid": "222"}

2017-07-30 08:33:21: 	{"semantic": {"slots": {"position": "前", "part": "雾灯", "operate": "开启"}}, "text": "前雾灯怎么开", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "1、将启动开关切换到“ON”挡位。
2、将车灯开关拧至8或9位置。
3、将雾灯开关从OFF位置旋转至11位置，前雾灯点亮。
4、将雾灯开关旋转OFF位置，前、后雾灯均关闭。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:33:48: 	{"query": "后雾灯怎么开", "uid": "222"}

2017-07-30 08:33:48: 	{"semantic": {"slots": {"position": "后", "part": "雾灯", "operate": "开启"}}, "text": "后雾灯怎么开", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "将雾灯开关从11位置旋转至12位置，松开可弹回11位置，此时后雾灯点亮。多次旋转并松开弹回，可在前雾灯单独点亮模式与前、后雾灯都点亮模式之间切换。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:35:03: 	{"query": "下坡辅助控制系统怎么关闭", "uid": "222"}

2017-07-30 08:35:03: 	{"semantic": {"slots": {"part": "下坡辅助控制系统", "operate": "关闭"}}, "text": "下坡辅助控制系统怎么关闭", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "", "method": "当车速低于35km/h时，按压按键，HDC功能激活，此时仪表上的指示灯会点亮。再次按压按键，HDC功能关闭，此时仪表上的指示灯熄灭。下坡辅助控制系统工作时指示灯闪烁，同时后组合灯的制动灯同时被点亮。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:35:22: 	{"query": "下坡辅助控制系统怎么打开", "uid": "222"}

2017-07-30 08:35:22: 	{"semantic": {"slots": {"part": "下坡辅助控制系统", "operate": "开启"}}, "text": "下坡辅助控制系统怎么打开", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "", "method": "当车速低于35km/h时，按压按键，HDC功能激活，此时仪表上的指示灯会点亮。再次按压按键，HDC功能关闭，此时仪表上的指示灯熄灭。下坡辅助控制系统工作时指示灯闪烁，同时后组合灯的制动灯同时被点亮。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:35:37: 	{"query": "下坡辅助控制系统怎么关闭", "uid": "222"}

2017-07-30 08:35:37: 	{"semantic": {"slots": {"part": "下坡辅助控制系统", "operate": "关闭"}}, "text": "下坡辅助控制系统怎么关闭", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "", "method": "当车速低于35km/h时，按压按键，HDC功能激活，此时仪表上的指示灯会点亮。再次按压按键，HDC功能关闭，此时仪表上的指示灯熄灭。下坡辅助控制系统工作时指示灯闪烁，同时后组合灯的制动灯同时被点亮。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:35:50: 	{"query": "后备箱怎么关", "uid": "222"}

2017-07-30 08:35:50: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 08:36:02: 	{"query": "怎么用遥控钥匙开后备箱", "uid": "222"}

2017-07-30 08:36:03: 	{"semantic": {"slots": {"part": "遥控钥匙", "property": "", "operate": ""}}, "text": "怎么用遥控钥匙开后备箱", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g09.png", "method": "沿箭头A方向拨开关，同时沿-箭头B-方向拉出应急机械钥匙。–使用微型一字螺丝刀1在箭头位置撬开智能遥控钥匙外壳。用手指沿箭头方向按压电池，取出智能遥控钥匙电池1。按照相反步骤安装好智能遥控钥匙。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:37:01: 	{"query": "后备箱怎么打开", "uid": "222"}

2017-07-30 08:37:01: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 08:37:12: 	{"query": "后备箱怎么感应打开", "uid": "222"}

2017-07-30 08:37:12: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 08:37:23: 	{"query": "后备箱电动功能怎么使用", "uid": "222"}

2017-07-30 08:37:23: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 08:37:32: 	{"query": "后备箱开启高度怎么设置", "uid": "222"}

2017-07-30 08:37:32: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 08:37:42: 	{"query": "小灯怎么关", "uid": "222"}

2017-07-30 08:37:42: 	{"semantic": {"slots": {"part": "小灯", "operate": "关闭"}}, "text": "小灯怎么关", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "将车灯开关拧至OFF位置，此灯关闭。若小灯忘记关闭， 当启动开关关闭且车辆上锁 15 分钟后， 这些灯将自动熄灭， 以节约电池电量"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:37:57: 	{"query": "小灯怎么开", "uid": "222"}

2017-07-30 08:37:57: 	{"semantic": {"slots": {"part": "小灯", "operate": "开启"}}, "text": "小灯怎么开", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g04.png", "method": "将车灯开关拧至8位置， 打开小灯， 此时位置灯、 仪表板照明灯、牌照灯点亮， 组合仪表上对应的指示灯点亮。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:38:08: 	{"query": "怎么检测蓄电池", "uid": "222"}

2017-07-30 08:38:08: 	{"semantic": {"slots": {"part": "蓄电池", "operate": "检查"}}, "text": "怎么检测蓄电池", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "", "method": "某些车型的蓄电池安装在蓄电池隔热罩里，将外罩取下即可。翻起蓄电池正极盖。检查蓄电池接头与线缆连接的情况，若出现腐蚀或松脱现象，应尽快前往本公司汽车销售服务店进行处理。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:38:18: 	{"query": "眼镜盒怎么用", "uid": "222"}

2017-07-30 08:38:18: 	{"semantic": {"slots": {"part": "眼镜盒", "operate": "打开"}}, "text": "眼镜盒怎么用", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "", "method": "按压眼镜盒，眼镜盒会缓慢打开。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:38:27: 	{"query": "机械钥匙怎么更换电池", "uid": "222"}

2017-07-30 08:38:27: 	{"semantic": {"slots": {"part": "机械钥匙", "operate": ""}}, "text": "机械钥匙怎么更换电池", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g20.png", "method": "1、沿 箭头 A 方向拨开关，同时沿箭头B 方向拉出应急机械钥匙。
2、将应急机械钥匙插入驾驶员侧车门锁孔，可上锁所有车门；解锁驾驶员侧车门"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:38:59: 	{"query": "仪表默认设置怎么恢复", "uid": "222"}

2017-07-30 08:39:00: 	{"semantic": {"slots": {"function": "设置", "part": "仪表", "condition": "", "operate": "恢复"}}, "text": "仪表默认设置怎么恢复", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "", "method": "可恢复默认设置。1、选择“确认”选项，按OK按键后，恢复默认设置。2、选择“取消”选项，按OK按键后，返回上一级菜单。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:39:12: 	{"query": "仪表盘显示信息怎么调", "uid": "222"}

2017-07-30 08:39:12: 	{"semantic": {"slots": {"qid": "", "qid_list": [762, 878]}}, "text": "仪表盘显示信息怎么调", "rc": 0, "topic": "qa", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["撞车后被撞的证件信息有问题怎么办", "撞车后被撞的证件信息有问题怎么办"], "uplist": [762, 878], "title": "请选择您想咨询问题"}}}

2017-07-30 08:39:28: 	{"query": "762", "uid": "222"}

2017-07-30 08:39:28: 	{"semantic": {"slots": {"qid": 762, "qid_list": [762, 878]}}, "text": "762", "rc": 0, "topic": "qa", "answer": {"state": 1, "result": {"data": "建议与保险公司工作人员协商更改报案信息后正常处理即可。", "id": 762}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 08:39:39: 	{"query": "仪表盘显示信息怎么调", "uid": "222"}

2017-07-30 08:39:39: 	{"semantic": {"slots": {"qid": "", "qid_list": [762, 878]}}, "text": "仪表盘显示信息怎么调", "rc": 0, "topic": "qa", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["撞车后被撞的证件信息有问题怎么办", "撞车后被撞的证件信息有问题怎么办"], "uplist": [762, 878], "title": "请选择您想咨询问题"}}}

2017-07-30 08:40:10: 	{"query": "里程怎么归零", "uid": "222"}

2017-07-30 08:40:10: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 08:40:23: 	{"query": "仪表背景光怎么调节", "uid": "222"}

